# wl	flux	err
3.433000000000000000e+03	1.142071367670561380e-15	2.424676675141628261e-17
3.434000000000000000e+03	1.181947251612977887e-15	2.670295082114625815e-17
3.435000000000000000e+03	1.309795116246826803e-15	2.754772319208397243e-17
3.436000000000000000e+03	1.272804493185828644e-15	2.577578279798970292e-17
3.437000000000000000e+03	1.227609991948527107e-15	2.437061053017499643e-17
3.438000000000000000e+03	1.293035678234285529e-15	2.580466671027444080e-17
3.439000000000000000e+03	1.359187546495988871e-15	2.603464619238674506e-17
3.440000000000000000e+03	1.296301605351641541e-15	2.702949515291930006e-17
3.441000000000000000e+03	1.169584707922460560e-15	2.685615297458777065e-17
3.442000000000000000e+03	1.137552930313875902e-15	2.350573825939565217e-17
3.443000000000000000e+03	1.169720500023642469e-15	2.498781924205408671e-17
3.444000000000000000e+03	1.181377506925837189e-15	3.125055253708467319e-17
3.445000000000000000e+03	1.279611395137789393e-15	3.046240209998463261e-17
3.446000000000000000e+03	1.266970639935515393e-15	2.613020947916914230e-17
3.447000000000000000e+03	1.228331663174861708e-15	2.464035881833394960e-17
3.448000000000000000e+03	1.294520910279003353e-15	2.049119334687727588e-17
3.449000000000000000e+03	1.322153612267460704e-15	1.834473017631041069e-17
3.450000000000000000e+03	1.314520687257287797e-15	2.228215637602747080e-17
3.451000000000000000e+03	1.339300601835828205e-15	2.399029416744906766e-17
3.452000000000000000e+03	1.224296511573631598e-15	2.668653553683817503e-17
3.453000000000000000e+03	1.253116655026591464e-15	2.707595984162466787e-17
3.454000000000000000e+03	1.360804752804476325e-15	2.709940411903349035e-17
3.455000000000000000e+03	1.284026225068929651e-15	2.527378348432493309e-17
3.456000000000000000e+03	1.309332600396324156e-15	2.361988350720205638e-17
3.457000000000000000e+03	1.344498112568652987e-15	2.287970024859061557e-17
3.458000000000000000e+03	1.273365783904275941e-15	1.932921753832176296e-17
3.459000000000000000e+03	1.320935416616144425e-15	2.078828467528660454e-17
3.460000000000000000e+03	1.327136049543076802e-15	2.149526571368872261e-17
3.461000000000000000e+03	1.247585440249602352e-15	2.287744143551404939e-17
3.462000000000000000e+03	1.229890910797883883e-15	2.634930864594849206e-17
3.463000000000000000e+03	1.273372154518325306e-15	2.757093694505503429e-17
3.464000000000000000e+03	1.336630335807667277e-15	2.760384112803169451e-17
3.465000000000000000e+03	1.290028851342998605e-15	2.785785788253522078e-17
3.466000000000000000e+03	1.400168380850740463e-15	2.718088886757545511e-17
3.467000000000000000e+03	1.293742056409096698e-15	2.295117460456388214e-17
3.468000000000000000e+03	1.285564188338406659e-15	2.183842765910343979e-17
3.469000000000000000e+03	1.313519437624388570e-15	2.062800928081842325e-17
3.470000000000000000e+03	1.362901357455254893e-15	1.788316667986917253e-17
3.471000000000000000e+03	1.381257413831236263e-15	2.136469700368830217e-17
3.472000000000000000e+03	1.292237121569745832e-15	2.570256451825908879e-17
3.473000000000000000e+03	1.322578330116366639e-15	2.855149665145233627e-17
3.474000000000000000e+03	1.249540213989998257e-15	3.497756944276332158e-17
3.475000000000000000e+03	1.253313608706063394e-15	3.840248830781492275e-17
3.476000000000000000e+03	1.354631126314366197e-15	3.559707211576777961e-17
3.477000000000000000e+03	1.225809106028340792e-15	3.368744739816677377e-17
3.478000000000000000e+03	1.314117429804553609e-15	2.994681075952034525e-17
3.479000000000000000e+03	1.330412101379131870e-15	2.227907237806184320e-17
3.480000000000000000e+03	1.321463808140690231e-15	2.497769361925159622e-17
3.481000000000000000e+03	1.382643157981490664e-15	2.949267177452982992e-17
3.482000000000000000e+03	1.361132925504880404e-15	2.841488374707039663e-17
3.483000000000000000e+03	1.313111709736390335e-15	2.764286446025338414e-17
3.484000000000000000e+03	1.294319629406360834e-15	2.394678555831731250e-17
3.485000000000000000e+03	1.320828692207364402e-15	1.794779677630821901e-17
3.486000000000000000e+03	1.319063967423572450e-15	1.476763927271119569e-17
3.487000000000000000e+03	1.317775887249069300e-15	1.378311683692574888e-17
3.488000000000000000e+03	1.343803518601209219e-15	1.657581826955442277e-17
3.489000000000000000e+03	1.348415829001961670e-15	1.877263661508092673e-17
3.490000000000000000e+03	1.250158584603820883e-15	2.215981657395204307e-17
3.491000000000000000e+03	1.269816147502629763e-15	2.294681732711697127e-17
3.492000000000000000e+03	1.374638205042953985e-15	2.281829574183391981e-17
3.493000000000000000e+03	1.324133540961874703e-15	2.210551772408984370e-17
3.494000000000000000e+03	1.362492950032826908e-15	1.878077043295082053e-17
3.495000000000000000e+03	1.327607032584512674e-15	1.858033030871667276e-17
3.496000000000000000e+03	1.300188347773326926e-15	2.037591244446804144e-17
3.497000000000000000e+03	1.263345939661964277e-15	2.039456511358737708e-17
3.498000000000000000e+03	1.296112127635698161e-15	2.380640434274029970e-17
3.499000000000000000e+03	1.354728115499287196e-15	2.542511367964234582e-17
3.500000000000000000e+03	1.349668229502742733e-15	2.342247894645122140e-17
3.501000000000000000e+03	1.370676185826471935e-15	2.152443655511284649e-17
3.502000000000000000e+03	1.314850889657195459e-15	2.038166144683010271e-17
3.503000000000000000e+03	1.363248649051664415e-15	1.887817500386287937e-17
3.504000000000000000e+03	1.356258039240915469e-15	1.875010568529360873e-17
3.505000000000000000e+03	1.381268963320385019e-15	1.991063955407238849e-17
3.506000000000000000e+03	1.327927299173220481e-15	2.032550409674917683e-17
3.507000000000000000e+03	1.314169742706537059e-15	1.930188449233359047e-17
3.508000000000000000e+03	1.372780077777403903e-15	1.929909767058732476e-17
3.509000000000000000e+03	1.374612755200274392e-15	1.777808755644813319e-17
3.510000000000000000e+03	1.312710867856258092e-15	1.651673967421418016e-17
3.511000000000000000e+03	1.336288755907687510e-15	1.579164280914524574e-17
3.512000000000000000e+03	1.351571505886716059e-15	2.040079452306739960e-17
3.513000000000000000e+03	1.323107941903325819e-15	2.369406182245430026e-17
3.514000000000000000e+03	1.336061331689443465e-15	2.409540284496507284e-17
3.515000000000000000e+03	1.312658353242634263e-15	2.691736870384406044e-17
3.516000000000000000e+03	1.358613286799725415e-15	2.309135672375831337e-17
3.517000000000000000e+03	1.452853866589702266e-15	1.871717038469667024e-17
3.518000000000000000e+03	1.405875518497340964e-15	1.675753591251827282e-17
3.519000000000000000e+03	1.374478329424893290e-15	1.679338541756879215e-17
3.520000000000000000e+03	1.374491408567585696e-15	1.871550795025490379e-17
3.521000000000000000e+03	1.284838638971226414e-15	1.731191399914725717e-17
3.522000000000000000e+03	1.345056404207875444e-15	1.827011518151873389e-17
3.523000000000000000e+03	1.328158648396808550e-15	1.763536928326985831e-17
3.524000000000000000e+03	1.253103369063992450e-15	1.544350403072884462e-17
3.525000000000000000e+03	1.344216003179031459e-15	1.692135664428925742e-17
3.526000000000000000e+03	1.262333209077404450e-15	1.755318936035648164e-17
3.527000000000000000e+03	1.340907765152928515e-15	2.035583255927999222e-17
3.528000000000000000e+03	1.402714075895616194e-15	2.077472146462069966e-17
3.529000000000000000e+03	1.388662766561440769e-15	2.029004679183906291e-17
3.530000000000000000e+03	1.345362802810978950e-15	2.012139749277121641e-17
3.531000000000000000e+03	1.423034591801915817e-15	1.946380091382224385e-17
3.532000000000000000e+03	1.413838664597447986e-15	1.922072436290777610e-17
3.533000000000000000e+03	1.377447463282394999e-15	1.648950162922014020e-17
3.534000000000000000e+03	1.402998627812190096e-15	1.587808627338536058e-17
3.535000000000000000e+03	1.424086871533408343e-15	1.403381926330143694e-17
3.536000000000000000e+03	1.423274500581517030e-15	1.253331383230293677e-17
3.537000000000000000e+03	1.401351836536234676e-15	1.414444944396333004e-17
3.538000000000000000e+03	1.429300433447420857e-15	1.500362231809419250e-17
3.539000000000000000e+03	1.477097818274190340e-15	1.876418559774932713e-17
3.540000000000000000e+03	1.429220493534149798e-15	2.036131992791025038e-17
3.541000000000000000e+03	1.381395285332142375e-15	1.963922779493377541e-17
3.542000000000000000e+03	1.389300969372674277e-15	1.885416699590305254e-17
3.543000000000000000e+03	1.450270400550011892e-15	1.727146559595904041e-17
3.544000000000000000e+03	1.453368236428140875e-15	1.511394973893292179e-17
3.545000000000000000e+03	1.431410899400267863e-15	1.487900419996238849e-17
3.546000000000000000e+03	1.453706901841314037e-15	1.530730531489555257e-17
3.547000000000000000e+03	1.406479262680283968e-15	1.559742397094543371e-17
3.548000000000000000e+03	1.394987615857983905e-15	1.706642572464443095e-17
3.549000000000000000e+03	1.493898666980912880e-15	1.711952538772612158e-17
3.550000000000000000e+03	1.438088681943341391e-15	1.829547714733366220e-17
3.551000000000000000e+03	1.385107831564335763e-15	1.778613899556930022e-17
3.552000000000000000e+03	1.395308708329165015e-15	1.583095611187348474e-17
3.553000000000000000e+03	1.407186765235488475e-15	1.527560339293084565e-17
3.554000000000000000e+03	1.419504937712619501e-15	1.506695707946189064e-17
3.555000000000000000e+03	1.431125577075861098e-15	1.507908251368415616e-17
3.556000000000000000e+03	1.473828409337967634e-15	1.541390984885720168e-17
3.557000000000000000e+03	1.486202025967625859e-15	1.799924567761140789e-17
3.558000000000000000e+03	1.414966053168022911e-15	1.771552286606650889e-17
